Product Link,Product Name,Product Price,Product Rating,Product Ratings
amazon.in/sspa/click?ie=UTF8&spc=MTo4MzEzNzk1NzE1NzY1NjM6MTY5MDA5Njg5MTpzcF9hdGZfbmV4dDozMDAwMTMzNDI5ODM4MzI6OjA6Og&url=%2FPolice-Polyester-laptop-casual-backpack%2Fdp%2FB09CQ5T3LN%2Fref%3Dsr_1_177_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690096891%26sprefix%3Dba%252Caps%252C283%26sr%3D8-177-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,"1,399","5,731",4.1 out of 5 stars
amazon.in/sspa/click?ie=UTF8&spc=MTo4MzEzNzk1NzE1NzY1NjM6MTY5MDA5Njg5MTpzcF9hdGZfbmV4dDozMDAwMTExNjY4Mzg3MzI6OjA6Og&url=%2FSafari-SAGE18FBBLK-Sage-Formal-Backpack%2Fdp%2FB097JLZBK3%2Fref%3Dsr_1_178_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690096891%26sprefix%3Dba%252Caps%252C283%26sr%3D8-178-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Sage Formal Backpack - black,"3,499",2,5.0 out of 5 stars
amazon.in/Red-Lemon-Capacity-Backpack-Multifunctional/dp/B09RK4BRPM/ref=sr_1_179?crid=2M096C61O4MLT&keywords=bags&qid=1690096891&sprefix=ba%2Caps%2C283&sr=8-179,"Red Lemon Swiss Cut Design 15.6 Inch Smart Laptop Backpack Bag With USB Charging Port, Anti Theft Pocket and Accessories Organiser for Men Women Boys Girls","1,799","1,053",4.4 out of 5 stars
amazon.in/PUMA-Limoges-Laptop-Backpack-7548709/dp/B07D5QZ76G/ref=sr_1_180?crid=2M096C61O4MLT&keywords=bags&qid=1690096891&sprefix=ba%2Caps%2C283&sr=8-180,"Puma Laptop Backpack (7548709, Limoges, 22 Ltrs)",999,788,4.3 out of 5 stars
amazon.in/uppercase-Professional-resistant-sustainable-Anti-theft/dp/B0BR1C59R8/ref=sr_1_181?crid=2M096C61O4MLT&keywords=bags&qid=1690096891&sprefix=ba%2Caps%2C283&sr=8-181,"uppercase SealPro Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers & Anti-theft for Men, Women, Boys and Girls, 750 Days warranty","1,900",68,4.6 out of 5 stars
amazon.in/DZert-School-Polyester-Backpack-White/dp/B07GXYHFCY/ref=sr_1_182?crid=2M096C61O4MLT&keywords=bags&qid=1690096891&sprefix=ba%2Caps%2C283&sr=8-182,DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Blue White,339,"2,495",3.8 out of 5 stars
amazon.in/Fast-Travel-partition-Collage-Backpack/dp/B09VCQWRC4/ref=sr_1_183?crid=2M096C61O4MLT&keywords=bags&qid=1690096891&sprefix=ba%2Caps%2C283&sr=8-183,"Fast Travel 45 Ltrs, 46 cms School Bag Class 5-12 Large 4 partition Laptop Collage Office Travel Backpack Unisex",692,945,4.1 out of 5 stars
amazon.in/Lavie-Sport-Chairman-Compatible-compartments/dp/B09YCSCRBW/ref=sr_1_184?crid=2M096C61O4MLT&keywords=bags&qid=1690096891&sprefix=ba%2Caps%2C283&sr=8-184,Lavie Sport Chairman Backpack with Laptop Sleeve | Premium Leatherette Business Backpack for Men & Women | Durable Office Bag for Notebook/MacBook,849,"1,246",4.0 out of 5 stars
amazon.in/F-Gear-Enzo-Waist-Bag-Enzo-Spruce-Yellow/dp/B08QM71P12/ref=sr_1_185?crid=2M096C61O4MLT&keywords=bags&qid=1690096891&sprefix=ba%2Caps%2C283&sr=8-185,F Gear Enzo Sports Waist Bag (Enzo Spruce Yellow),265,201,4.2 out of 5 stars
amazon.in/Vivinkaa-Womens-Sling-Bag-Blue/dp/B077WSKG53/ref=sr_1_186?crid=2M096C61O4MLT&keywords=bags&qid=1690096891&sprefix=ba%2Caps%2C283&sr=8-186,"Vivinkaa Sling Bag for Women, Bags for Women, Sling Bag, Purse for Women, Sling Bag for Women Stylish, Sling Bag for Girls, Women Sling Bag, Bag for Girls - Indigo",549,"1,963",3.8 out of 5 stars
amazon.in/sspa/click?ie=UTF8&spc=MTo4MzEzNzk1NzE1NzY1NjM6MTY5MDA5Njg5MTpzcF9tdGY6MjAxNjcxNTQ5ODEyOTg6OjA6Og&url=%2FEUME-Tourismo-Backpack-Resistance-15-6-inch%2Fdp%2FB0B4JQSMD5%2Fref%3Dsr_1_187_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690096891%26sprefix%3Dba%252Caps%252C283%26sr%3D8-187-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,EUME Tourismo 36L Laptop Backpack Bag with 2 Large Compartment for Work Office & Business Travel for Men & Women | Water Resistance | Fit Up to 16 Inch Laptop,"2,499",7,4.4 out of 5 stars
amazon.in/sspa/click?ie=UTF8&spc=MTo4MzEzNzk1NzE1NzY1NjM6MTY5MDA5Njg5MTpzcF9tdGY6MzAwMDAxNzMxNjM5NzMyOjowOjo&url=%2FWALKENT-Anti-Theft-Expandable-Combination-Secure%2Fdp%2FB0C6GJMR72%2Fref%3Dsr_1_188_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690096891%26sprefix%3Dba%252Caps%252C283%26sr%3D8-188-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"WALKENT ARCTIC HUNTER Anti-Theft, Hard Top 15.6"" Expandable Laptop Bag with Built-in Combination Lock, Scratch & Water Resistant for Office, College, Men, Women (Model Secure)","3,890",,
amazon.in/Nivia-5183NB-Gym-Navy-Blue/dp/B07NJGW3WX/ref=sr_1_189?crid=2M096C61O4MLT&keywords=bags&qid=1690096891&sprefix=ba%2Caps%2C283&sr=8-189,NIVIA Beast Gym Bag-4 Polyester/Unisex Gym Bags/Shoulder Bag for Men & Women with Separate Shoes Compartment/Carry Gym Accessories/Fitness Bag/Sports & Travel Bag/Sports Kit (Navy Blue),509,110,3.9 out of 5 stars
amazon.in/Lunars-Heritage-Casual-Bagpack-College/dp/B08CBJDBH4/ref=sr_1_190?crid=2M096C61O4MLT&keywords=bags&qid=1690096891&sprefix=ba%2Caps%2C283&sr=8-190,Lunar's Heritage 37L Casual Water Resistant 3 Compartment Travel Bagpack/College Backpack/School Bag (Black),799,874,4.0 out of 5 stars
amazon.in/Backpack-Business-Scratch-resistant-Multiple-Comfortable/dp/B0B6FNPN76/ref=sr_1_191?crid=2M096C61O4MLT&keywords=bags&qid=1690096891&sprefix=ba%2Caps%2C283&sr=8-191,Arctic Hunter Backpack for Men Premium Business Backpack Office Travel Laptop Bag with 15.6 Inch Laptop Pocket Water/Scratch-resistant Multiple Pocket Comfortable and Padded Backpack for Men,"5,999",150,4.4 out of 5 stars
amazon.in/ADISA-SL5038-women-girls-sling/dp/B08Q4FHQLN/ref=sr_1_192?crid=2M096C61O4MLT&keywords=bags&qid=1690096891&sprefix=ba%2Caps%2C283&sr=8-192,ADISA SL5038 women girls sling bag,564,"1,191",4.1 out of 5 stars
amazon.in/Tabelito-NEXA-Backpack-Business-Compartment/dp/B0C2D4T9R5/ref=sr_1_193?crid=2M096C61O4MLT&keywords=bags&qid=1690096891&sprefix=ba%2Caps%2C283&sr=8-193,"Tabelito® NEXA 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag, Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook. (GREY)",399,75,4.2 out of 5 stars
amazon.in/AUXTER-BLACKY-Duffel-Emboss-Black/dp/B07F2H25NP/ref=sr_1_194?crid=2M096C61O4MLT&keywords=bags&qid=1690096891&sprefix=ba%2Caps%2C283&sr=8-194,AUXTER Faux Leather 23 Cms Duffle Bag(AUX_GB_LE_Black -SE__0521_Black),429,"9,247",4.3 out of 5 stars
amazon.in/Skybags-Unisex-Yellow-Fabric-Backpacks/dp/B0B21XM4KX/ref=sr_1_195?crid=2M096C61O4MLT&keywords=bags&qid=1690096891&sprefix=ba%2Caps%2C283&sr=8-195,Skybags Unisex Gucci Fabric Backpacks,584,268,4.2 out of 5 stars
amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B0BR149RMT/ref=sr_1_196?crid=2M096C61O4MLT&keywords=bags&qid=1690096891&sprefix=ba%2Caps%2C283&sr=8-196,Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Sky Blue),699,87,3.6 out of 5 stars
amazon.in/sspa/click?ie=UTF8&spc=MTo4MzEzNzk1NzE1NzY1NjM6MTY5MDA5Njg5MTpzcF9idGY6MzAwMDA2ODIyMTI2NjMyOjowOjo&url=%2FWALKENT-Premium-Support-Pockets-Elprine%2Fdp%2FB0C7KP65DP%2Fref%3Dsr_1_197_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690096891%26sprefix%3Dba%252Caps%252C283%26sr%3D8-197-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"WALKENT Waterproof Laptop Bag for Men with Side Bottle Pockets, Cushioned Straps & More P2","4,990",,
amazon.in/sspa/click?ie=UTF8&spc=MTo4MzEzNzk1NzE1NzY1NjM6MTY5MDA5Njg5MTpzcF9idGY6MzAwMDE0NTk0MDAxNjMyOjowOjo&url=%2FElegant-Leatherette-Waterproof-Backpack-Business%2Fdp%2FB0C4GVK22X%2Fref%3Dsr_1_198_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690096891%26sprefix%3Dba%252Caps%252C283%26sr%3D8-198-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,Elegant 16 inch 28 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,799,5,5.0 out of 5 stars
amazon.in/sspa/click?ie=UTF8&spc=MTo4MzEzNzk1NzE1NzY1NjM6MTY5MDA5Njg5MTpzcF9hdGZfbmV4dDozMDAwMTMzNDI5ODM4MzI6OjA6Og&url=%2FPolice-Polyester-laptop-casual-backpack%2Fdp%2FB09CQ5T3LN%2Fref%3Dsr_1_177_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690096891%26sprefix%3Dba%252Caps%252C283%26sr%3D8-177-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,"1,399","5,731",4.1 out of 5 stars
amazon.in/sspa/click?ie=UTF8&spc=MTo4MzEzNzk1NzE1NzY1NjM6MTY5MDA5Njg5MTpzcF9hdGZfbmV4dDozMDAwMTExNjY4Mzg3MzI6OjA6Og&url=%2FSafari-SAGE18FBBLK-Sage-Formal-Backpack%2Fdp%2FB097JLZBK3%2Fref%3Dsr_1_178_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690096891%26sprefix%3Dba%252Caps%252C283%26sr%3D8-178-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Sage Formal Backpack - black,"3,499",2,5.0 out of 5 stars
amazon.in/Red-Lemon-Capacity-Backpack-Multifunctional/dp/B09RK4BRPM/ref=sr_1_179?crid=2M096C61O4MLT&keywords=bags&qid=1690096891&sprefix=ba%2Caps%2C283&sr=8-179,"Red Lemon Swiss Cut Design 15.6 Inch Smart Laptop Backpack Bag With USB Charging Port, Anti Theft Pocket and Accessories Organiser for Men Women Boys Girls","1,799","1,053",4.4 out of 5 stars
amazon.in/PUMA-Limoges-Laptop-Backpack-7548709/dp/B07D5QZ76G/ref=sr_1_180?crid=2M096C61O4MLT&keywords=bags&qid=1690096891&sprefix=ba%2Caps%2C283&sr=8-180,"Puma Laptop Backpack (7548709, Limoges, 22 Ltrs)",999,788,4.3 out of 5 stars
amazon.in/uppercase-Professional-resistant-sustainable-Anti-theft/dp/B0BR1C59R8/ref=sr_1_181?crid=2M096C61O4MLT&keywords=bags&qid=1690096891&sprefix=ba%2Caps%2C283&sr=8-181,"uppercase SealPro Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers & Anti-theft for Men, Women, Boys and Girls, 750 Days warranty","1,900",68,4.6 out of 5 stars
amazon.in/DZert-School-Polyester-Backpack-White/dp/B07GXYHFCY/ref=sr_1_182?crid=2M096C61O4MLT&keywords=bags&qid=1690096891&sprefix=ba%2Caps%2C283&sr=8-182,DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Blue White,339,"2,495",3.8 out of 5 stars
amazon.in/Fast-Travel-partition-Collage-Backpack/dp/B09VCQWRC4/ref=sr_1_183?crid=2M096C61O4MLT&keywords=bags&qid=1690096891&sprefix=ba%2Caps%2C283&sr=8-183,"Fast Travel 45 Ltrs, 46 cms School Bag Class 5-12 Large 4 partition Laptop Collage Office Travel Backpack Unisex",692,945,4.1 out of 5 stars
amazon.in/Lavie-Sport-Chairman-Compatible-compartments/dp/B09YCSCRBW/ref=sr_1_184?crid=2M096C61O4MLT&keywords=bags&qid=1690096891&sprefix=ba%2Caps%2C283&sr=8-184,Lavie Sport Chairman Backpack with Laptop Sleeve | Premium Leatherette Business Backpack for Men & Women | Durable Office Bag for Notebook/MacBook,849,"1,246",4.0 out of 5 stars
amazon.in/F-Gear-Enzo-Waist-Bag-Enzo-Spruce-Yellow/dp/B08QM71P12/ref=sr_1_185?crid=2M096C61O4MLT&keywords=bags&qid=1690096891&sprefix=ba%2Caps%2C283&sr=8-185,F Gear Enzo Sports Waist Bag (Enzo Spruce Yellow),265,201,4.2 out of 5 stars
amazon.in/Vivinkaa-Womens-Sling-Bag-Blue/dp/B077WSKG53/ref=sr_1_186?crid=2M096C61O4MLT&keywords=bags&qid=1690096891&sprefix=ba%2Caps%2C283&sr=8-186,"Vivinkaa Sling Bag for Women, Bags for Women, Sling Bag, Purse for Women, Sling Bag for Women Stylish, Sling Bag for Girls, Women Sling Bag, Bag for Girls - Indigo",549,"1,963",3.8 out of 5 stars
amazon.in/sspa/click?ie=UTF8&spc=MTo4MzEzNzk1NzE1NzY1NjM6MTY5MDA5Njg5MTpzcF9tdGY6MjAxNjcxNTQ5ODEyOTg6OjA6Og&url=%2FEUME-Tourismo-Backpack-Resistance-15-6-inch%2Fdp%2FB0B4JQSMD5%2Fref%3Dsr_1_187_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690096891%26sprefix%3Dba%252Caps%252C283%26sr%3D8-187-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,EUME Tourismo 36L Laptop Backpack Bag with 2 Large Compartment for Work Office & Business Travel for Men & Women | Water Resistance | Fit Up to 16 Inch Laptop,"2,499",7,4.4 out of 5 stars
amazon.in/sspa/click?ie=UTF8&spc=MTo4MzEzNzk1NzE1NzY1NjM6MTY5MDA5Njg5MTpzcF9tdGY6MzAwMDAxNzMxNjM5NzMyOjowOjo&url=%2FWALKENT-Anti-Theft-Expandable-Combination-Secure%2Fdp%2FB0C6GJMR72%2Fref%3Dsr_1_188_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690096891%26sprefix%3Dba%252Caps%252C283%26sr%3D8-188-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"WALKENT ARCTIC HUNTER Anti-Theft, Hard Top 15.6"" Expandable Laptop Bag with Built-in Combination Lock, Scratch & Water Resistant for Office, College, Men, Women (Model Secure)","3,890",,
amazon.in/Nivia-5183NB-Gym-Navy-Blue/dp/B07NJGW3WX/ref=sr_1_189?crid=2M096C61O4MLT&keywords=bags&qid=1690096891&sprefix=ba%2Caps%2C283&sr=8-189,NIVIA Beast Gym Bag-4 Polyester/Unisex Gym Bags/Shoulder Bag for Men & Women with Separate Shoes Compartment/Carry Gym Accessories/Fitness Bag/Sports & Travel Bag/Sports Kit (Navy Blue),509,110,3.9 out of 5 stars
amazon.in/Lunars-Heritage-Casual-Bagpack-College/dp/B08CBJDBH4/ref=sr_1_190?crid=2M096C61O4MLT&keywords=bags&qid=1690096891&sprefix=ba%2Caps%2C283&sr=8-190,Lunar's Heritage 37L Casual Water Resistant 3 Compartment Travel Bagpack/College Backpack/School Bag (Black),799,874,4.0 out of 5 stars
amazon.in/Backpack-Business-Scratch-resistant-Multiple-Comfortable/dp/B0B6FNPN76/ref=sr_1_191?crid=2M096C61O4MLT&keywords=bags&qid=1690096891&sprefix=ba%2Caps%2C283&sr=8-191,Arctic Hunter Backpack for Men Premium Business Backpack Office Travel Laptop Bag with 15.6 Inch Laptop Pocket Water/Scratch-resistant Multiple Pocket Comfortable and Padded Backpack for Men,"5,999",150,4.4 out of 5 stars
amazon.in/ADISA-SL5038-women-girls-sling/dp/B08Q4FHQLN/ref=sr_1_192?crid=2M096C61O4MLT&keywords=bags&qid=1690096891&sprefix=ba%2Caps%2C283&sr=8-192,ADISA SL5038 women girls sling bag,564,"1,191",4.1 out of 5 stars
amazon.in/Tabelito-NEXA-Backpack-Business-Compartment/dp/B0C2D4T9R5/ref=sr_1_193?crid=2M096C61O4MLT&keywords=bags&qid=1690096891&sprefix=ba%2Caps%2C283&sr=8-193,"Tabelito® NEXA 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag, Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook. (GREY)",399,75,4.2 out of 5 stars
amazon.in/AUXTER-BLACKY-Duffel-Emboss-Black/dp/B07F2H25NP/ref=sr_1_194?crid=2M096C61O4MLT&keywords=bags&qid=1690096891&sprefix=ba%2Caps%2C283&sr=8-194,AUXTER Faux Leather 23 Cms Duffle Bag(AUX_GB_LE_Black -SE__0521_Black),429,"9,247",4.3 out of 5 stars
amazon.in/Skybags-Unisex-Yellow-Fabric-Backpacks/dp/B0B21XM4KX/ref=sr_1_195?crid=2M096C61O4MLT&keywords=bags&qid=1690096891&sprefix=ba%2Caps%2C283&sr=8-195,Skybags Unisex Gucci Fabric Backpacks,584,268,4.2 out of 5 stars
amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B0BR149RMT/ref=sr_1_196?crid=2M096C61O4MLT&keywords=bags&qid=1690096891&sprefix=ba%2Caps%2C283&sr=8-196,Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Sky Blue),699,87,3.6 out of 5 stars
amazon.in/sspa/click?ie=UTF8&spc=MTo4MzEzNzk1NzE1NzY1NjM6MTY5MDA5Njg5MTpzcF9idGY6MzAwMDA2ODIyMTI2NjMyOjowOjo&url=%2FWALKENT-Premium-Support-Pockets-Elprine%2Fdp%2FB0C7KP65DP%2Fref%3Dsr_1_197_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690096891%26sprefix%3Dba%252Caps%252C283%26sr%3D8-197-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"WALKENT Waterproof Laptop Bag for Men with Side Bottle Pockets, Cushioned Straps & More P2","4,990",,
amazon.in/sspa/click?ie=UTF8&spc=MTo4MzEzNzk1NzE1NzY1NjM6MTY5MDA5Njg5MTpzcF9idGY6MzAwMDE0NTk0MDAxNjMyOjowOjo&url=%2FElegant-Leatherette-Waterproof-Backpack-Business%2Fdp%2FB0C4GVK22X%2Fref%3Dsr_1_198_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690096891%26sprefix%3Dba%252Caps%252C283%26sr%3D8-198-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,Elegant 16 inch 28 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,799,5,5.0 out of 5 stars
amazon.in/sspa/click?ie=UTF8&spc=MToyODEzMzYyMDkzMDQ2NDM2OjE2OTAwOTcxNzk6c3BfYXRmX25leHQ6MjAxMTgzNjI2ODYwOTg6OjA6Og&url=%2Fuppercase-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BTYTY8GG%2Fref%3Dsr_1_273_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690097179%26sprefix%3Dba%252Caps%252C283%26sr%3D8-273-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"uppercase Sigma Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","2,100",23,4.7 out of 5 stars
amazon.in/sspa/click?ie=UTF8&spc=MToyODEzMzYyMDkzMDQ2NDM2OjE2OTAwOTcxNzk6c3BfYXRmX25leHQ6MzAwMDE1Njc2MDAwOTMyOjowOjo&url=%2FLappee-Trendy-Backpacks-College-Spacejack%2Fdp%2FB0C96DVQ28%2Fref%3Dsr_1_274_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690097179%26sprefix%3Dba%252Caps%252C283%26sr%3D8-274-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Lappee Trendy Casual Backpacks for School College Office Travel with Rain Cover | 15.6 inch Office Laptop Bags for Men Women | Sylish Heavy Duty School Bag for Boys Girls (Spacejack- Black),899,5,5.0 out of 5 stars
amazon.in/Lavie-Sport-Strato-Medium-Duffle/dp/B0BNCBGRPX/ref=sr_1_275?crid=2M096C61O4MLT&keywords=bags&qid=1690097179&sprefix=ba%2Caps%2C283&sr=8-275,Lavie Sport Strato Medium 55 cms Duffle Bag for Travel | Travel Duffle Bag,829,41,4.2 out of 5 stars
amazon.in/Storite-Laptop-Briefcase-Messenger-Bag/dp/B08VWF41VX/ref=sr_1_276?crid=2M096C61O4MLT&keywords=bags&qid=1690097179&sprefix=ba%2Caps%2C283&sr=8-276,"Storite PU Leather 14 Inch Laptop Shoulder Messenger Sling Office Business Travel Bag for Men & Women (Brown, 40cm x 29cm x 6cm)",999,430,3.7 out of 5 stars
amazon.in/Cosmus-Polyester-Waterproof-Laptop-Backpack/dp/B07DFH15H2/ref=sr_1_277?crid=2M096C61O4MLT&keywords=bags&qid=1690097179&sprefix=ba%2Caps%2C283&sr=8-277,Cosmus Eden DX Black Polyester Waterproof Large Laptop Backpack for Upto 17 inches Laptop,"2,452",256,4.3 out of 5 stars
amazon.in/Tommy-Hilfiger-Nashville-Overnighter-Travel/dp/B0C3ZQBRT3/ref=sr_1_278?crid=2M096C61O4MLT&keywords=bags&qid=1690097179&sprefix=ba%2Caps%2C283&sr=8-278,"Tommy Hilfiger Nashville Black Overnighter for Travel - 51Ltrs, 15 Inch Laptop Capacity 4 Wheel Trolley Bag","3,199",4,5.0 out of 5 stars
amazon.in/SHAMRIZ-Sling-Adjustable-handbag-bag/dp/B0BH141C7H/ref=sr_1_279?crid=2M096C61O4MLT&keywords=bags&qid=1690097179&sprefix=ba%2Caps%2C283&sr=8-279,SHAMRIZ Women Sling Bag With Adjustable strap | handbag | purse |Side Sling bag | Tassel Sling Bag,341,"3,187",3.8 out of 5 stars
amazon.in/Skybags-Unisex-Adjustable-Polyester-Backpack/dp/B0BJ74KLLY/ref=sr_1_280?crid=2M096C61O4MLT&keywords=bags&qid=1690097179&sprefix=ba%2Caps%2C283&sr=8-280,Skybags Kick Unisex Adjustable Strap Polyester Laptop Backpack,"1,400",53,4.0 out of 5 stars
amazon.in/uppercase-Backpack-2300EBP1-resistant-sustainable/dp/B0BWNCV31F/ref=sr_1_281?crid=2M096C61O4MLT&keywords=bags&qid=1690097179&sprefix=ba%2Caps%2C283&sr=8-281,"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,600",504,4.1 out of 5 stars
amazon.in/Yondella-Sling-Medium-Sky-Blue/dp/B07TZ8R5QN/ref=sr_1_282?crid=2M096C61O4MLT&keywords=bags&qid=1690097179&sprefix=ba%2Caps%2C283&sr=8-282,Caprese Yondella Women's Sling Bag,999,"1,284",4.1 out of 5 stars
amazon.in/sspa/click?ie=UTF8&spc=MToyODEzMzYyMDkzMDQ2NDM2OjE2OTAwOTcxNzk6c3BfbXRmOjIwMDg1MjE1MTYzMzk4OjowOjo&url=%2FBATUM-Astro-Canvas-Leather-Backpack%2Fdp%2FB0BJ8T7LNS%2Fref%3Dsr_1_283_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690097179%26sprefix%3Dba%252Caps%252C283%26sr%3D8-283-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,BATUM Astro Waxed Canvas Leather Laptop Backpack,"2,859",,
amazon.in/sspa/click?ie=UTF8&spc=MToyODEzMzYyMDkzMDQ2NDM2OjE2OTAwOTcxNzk6c3BfbXRmOjMwMDAxODA2NzcxOTczMjo6MDo6&url=%2FFunk-Hire-Leatherette-Backpack-Charging%2Fdp%2FB0C7W3J7XT%2Fref%3Dsr_1_284_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690097179%26sprefix%3Dba%252Caps%252C283%26sr%3D8-284-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"Funk For Hire Printed Leatherette 15.6"" inch Laptop Backpack with USB Charging Port","3,200",,
amazon.in/Safari-Polyester-Cms-Travel-KRYPTON17DFBLK_Black/dp/B097L3XJ38/ref=sr_1_285?crid=2M096C61O4MLT&keywords=bags&qid=1690097179&sprefix=ba%2Caps%2C283&sr=8-285,Safari Polyester 24 Cms Travel Bag(KRYPTON17DFBLK_Black),690,24,4.4 out of 5 stars
amazon.in/Flamingo-Cosmetic-Sichumaria-Water-Resistant-Organizer/dp/B0B1HNQHXD/ref=sr_1_286?crid=2M096C61O4MLT&keywords=bags&qid=1690097179&sprefix=ba%2Caps%2C283&sr=8-286,Sichumaria Flamingo Cosmetic Bag Portable Travel Makeup Bag for Women Large Travel Water-Resistant Zipper Makeup Organizer for Girls Make Up Bag Brush Bags (Pink),238,72,3.9 out of 5 stars
amazon.in/American-Tourister-Harp-Duffle-Grey/dp/B0BTHP5LS1/ref=sr_1_287?crid=2M096C61O4MLT&keywords=bags&qid=1690097179&sprefix=ba%2Caps%2C283&sr=8-287,American Tourister Harp Duffle Bag 52 CM Grey,"1,199",14,3.9 out of 5 stars
amazon.in/Martucci-Waterproof-Backpack-College-Business/dp/B0B1HM2ZGX/ref=sr_1_288?crid=2M096C61O4MLT&keywords=bags&qid=1690097179&sprefix=ba%2Caps%2C283&sr=8-288,Martucci 16 inch 36L Casual Waterproof Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,599,181,3.8 out of 5 stars
amazon.in/Lenovo-Laptop-Everyday-Backpack-Black/dp/B07GM5NR14/ref=sr_1_289?crid=2M096C61O4MLT&keywords=bags&qid=1690097179&sprefix=ba%2Caps%2C283&sr=8-289,Lenovo Everyday Laptop Backpack B515 15.6-inch Water Repellent Black,"1,499","3,709",4.1 out of 5 stars
