Product Link,Product Name,Product Price,Product Rating,Product Ratings
amazon.in/sspa/click?ie=UTF8&spc=MToxODgxMTY5MDQ2NTg3NzcwOjE2OTAwOTYwODk6c3BfYnRmOjMwMDAyMDI1Nzk1ODYzMjo6MDo6&url=%2FChris-Kate-Spacious-Compartment-Girls-Purple%2Fdp%2FB0CC9DS5HX%2Fref%3Dsr_1_85_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690096089%26sprefix%3Dba%252Caps%252C283%26sr%3D8-85-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,Chris & Kate Spacious 35 Ltrs Backpack for School College Everyday Bag With Laptop Compartment Casual Backpack for Boys and Girls,899,1,5.0 out of 5 stars
amazon.in/sspa/click?ie=UTF8&spc=MToxODgxMTY5MDQ2NTg3NzcwOjE2OTAwOTYwODk6c3BfYnRmOjMwMDAxNDU5NDAwMjAzMjo6MDo6&url=%2FElegant-BLCK01-Resistant-Backpack-Business%2Fdp%2FB0BZSFTTB2%2Fref%3Dsr_1_86_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690096089%26sprefix%3Dba%252Caps%252C283%26sr%3D8-86-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,Elegant 16 inch 28 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,849,5,5.0 out of 5 stars
amazon.in/sspa/click?ie=UTF8&spc=MTo4NDUxNTkxMTAxMDIwNTIzOjE2OTAwOTY0NjE6c3BfYXRmX25leHQ6MzAwMDEzMzQyOTgzODMyOjowOjo&url=%2FPolice-Polyester-laptop-casual-backpack%2Fdp%2FB09CQ5T3LN%2Fref%3Dsr_1_97_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690096461%26sprefix%3Dba%252Caps%252C283%26sr%3D8-97-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,"1,399","5,731",4.1 out of 5 stars
amazon.in/sspa/click?ie=UTF8&spc=MTo4NDUxNTkxMTAxMDIwNTIzOjE2OTAwOTY0NjE6c3BfYXRmX25leHQ6MjAxNjcxNTQ5ODEyOTg6OjA6Og&url=%2FEUME-Tourismo-Backpack-Resistance-15-6-inch%2Fdp%2FB0B4JQSMD5%2Fref%3Dsr_1_98_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690096461%26sprefix%3Dba%252Caps%252C283%26sr%3D8-98-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,EUME Tourismo 36L Laptop Backpack Bag with 2 Large Compartment for Work Office & Business Travel for Men & Women | Water Resistance | Fit Up to 16 Inch Laptop,"2,499",7,4.4 out of 5 stars
amazon.in/PAZZO-Alto-40L-Casual-Backpack/dp/B07VT3F795/ref=sr_1_99?crid=2M096C61O4MLT&keywords=bags&qid=1690096461&sprefix=ba%2Caps%2C283&sr=8-99,"PAZZO Alto 40L Casual Backpack - 3 Compartment Travel Backpack, College|School Bag with 1 Year Warranty",849,"1,767",4.0 out of 5 stars
amazon.in/Asus-BP1504-15-6-inch-Laptop-Backpack/dp/B0895ZZHKK/ref=sr_1_100?crid=2M096C61O4MLT&keywords=bags&qid=1690096461&sprefix=ba%2Caps%2C283&sr=8-100,Asus BP1504 39.62 cm (15.6-inch) Laptop Backpack (Dark Grey),819,"1,692",4.2 out of 5 stars
amazon.in/Hammonds-Flycatcher-Leather-Messenger-LB190BRN/dp/B083M1QK32/ref=sr_1_101?crid=2M096C61O4MLT&keywords=bags&qid=1690096461&sprefix=ba%2Caps%2C283&sr=8-101,HAMMONDS FLYCATCHER Laptop Bag for Men - Genuine Leather Messenger Shoulder Bag - Fits 14/15.6/16 Inch Laptops - Brown Office Bag - Multiple Pockets -Water Resistant -Executive Bag for Work and Travel,"5,255",571,4.4 out of 5 stars
amazon.in/Gear-Colorado-Orange-Laptop-Backpack/dp/B097K6KD7W/ref=sr_1_102?crid=2M096C61O4MLT&keywords=bags&qid=1690096461&sprefix=ba%2Caps%2C283&sr=8-102,F Gear Colorado Grey Orange 39 Ltrs Laptop Backpack (3814),895,207,4.2 out of 5 stars
amazon.in/DZert-Fabric-Multicolour-Spiderman-Printed/dp/B07BNS3KNX/ref=sr_1_103?crid=2M096C61O4MLT&keywords=bags&qid=1690096461&sprefix=ba%2Caps%2C283&sr=8-103,DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years),249,"12,607",3.8 out of 5 stars
amazon.in/Shoulder-Crossbody-Shockproof-Compartment-k00063-Black/dp/B09HV9QYFB/ref=sr_1_104?crid=2M096C61O4MLT&keywords=bags&qid=1690096461&sprefix=ba%2Caps%2C283&sr=8-104,"Arctic Hunter Mens Sling Bag,Mens Shoulder Bag,Crossbody Bag for Men,Chest Bag,Daypack,Shockproof Compartment for iPad,Suitable for College,Outdoor Travels and Business Daily Use For Men, Black","1,399",513,4.4 out of 5 stars
